symbol,pnl,ret_pct,exit_reason,r72_pct,r24_pct,r6_pct,vr,regime,sig,entry_price,qty,ret_1h,ret_2h,ret_3h,ret_4h,mfe_1h,mfe_4h,mae_1h,mae_4h,high_1h,high_4h,low_below_entry_1h,low_below_entry_3h
RSR/USDT,498.68,0.48,pump_stagnation_exit,44.0,22.0,12.0,3.9,WARM,early,0.008459,21165137.3,-2.47,-2.99,-1.5,-0.0,1.52,1.55,-3.57,-4.4,True,True,True,True
RSR/USDT,-6836.47,-4.38,pump_3h_down,35.0,20.0,15.0,2.0,WARM,early,0.009951,15018637.78,2.54,-2.55,-0.69,-3.06,4.51,4.51,-1.4,-4.76,True,True,True,True
PENDLE/USDT,2888.41,2.14,pump_stagnation_exit,24.0,26.0,11.0,2.3,HOT,early,5.927962,25111.01,1.32,1.81,0.98,1.59,2.63,3.54,-1.94,-1.94,True,True,True,True
ATM/USDT,-2305.44,-1.46,pump_time_exit,15.0,18.0,15.0,94.0,WARM,early,3.457728,40236.33,-1.29,-2.8,-0.14,-1.64,2.61,2.61,-1.67,-3.2,True,True,True,True
ENS/USDT,9683.22,6.77,pump_breakeven,34.0,39.0,12.0,6.2,WARM,early,20.360175,7243.31,1.72,3.49,3.68,1.67,2.9,8.0,-0.3,-0.3,True,True,True,True
SYN/USDT,-3418.29,-2.06,pump_profit_protect,19.0,33.0,16.0,7.2,WARM,early,0.727964,207655.62,8.34,0.83,-1.99,-1.99,16.1,16.1,-1.97,-3.15,True,True,True,True
INJ/USDT,-9047.2,-5.86,pump_3h_down,18.0,22.0,14.0,3.1,HOT,early,32.626305,4580.84,-1.49,-1.83,-5.81,-5.81,-0.05,-0.05,-2.72,-6.15,False,False,True,True
LPT/USDT,-3618.27,-2.24,pump_stagnation_exit,16.0,26.0,18.0,3.7,WARM,early,25.562775,5800.1,2.69,-1.21,-5.86,-2.83,3.0,3.06,-1.34,-7.46,True,True,True,True
ONG/USDT,-5265.51,-3.48,pump_3h_down,7.0,21.0,17.0,25.3,WARM,early,0.354577,403635.3,-0.61,-1.38,-0.67,-2.48,1.05,1.05,-1.91,-3.27,True,True,True,True
FET/USDT,-2335.02,-1.46,pump_3h_down,7.0,20.0,15.0,2.5,WARM,early,1.685843,83332.7,0.31,1.02,-1.3,-0.47,1.73,1.73,-2.07,-2.3,True,True,True,True
ENS/USDT,-3845.52,-2.56,pump_stagnation_exit,18.0,27.0,14.0,3.3,HOT,early,32.466225,4291.16,0.57,1.15,0.54,0.66,1.4,1.4,-1.16,-1.16,True,True,True,True
AXL/USDT,-832.86,-0.41,pump_time_exit,0.0,25.0,20.0,4.0,WARM,early,0.619309,221850.28,1.26,2.05,-0.37,3.41,3.32,3.95,-1.79,-1.79,True,True,True,True
